geonames_id,osm_id,wikipedia_id,woe_id,name,iso,is_megacity,latitude,longitude
4849826,151343861,10485750,2372070,"Burlington, Iowa, United States of America",USA,0,40.8079341828,-91.1127696144
4854529,151323772,60796,2394000,"Dubuque, Iowa, United States of America",USA,0,42.5009316193,-90.6644507261
4880889,151365036,33670,2515157,"Waterloo, Iowa, United States of America",USA,0,42.4931543163,-92.342797894
4877138,151800861,112899,2497505,"Spencer, Iowa, United States of America",USA,0,43.1452850536,-95.1471745217
4857486,151728114,114334,2405667,"Ft. Dodge, Iowa, United States of America",USA,0,42.5068227326,-94.180256797
4876523,151408655,150425,2494111,"Sioux City, Iowa, United States of America",USA,0,42.5003890168,-96.3999921079
4852832,151750637,60795,2385746,"Council Bluffs, Iowa, United States of America",USA,0,41.2622733755,-95.8608002134
4846834,151883827,1298,2354286,"Ames, Iowa, United States of America",USA,0,42.0538529654,-93.619722536
4866445,151349056,112861,2446664,"Mason City, Iowa, United States of America",USA,0,43.1540183706,-93.2008333758
4273299,151417132,114853,2426209,"Hutchinson, Kansas, United States of America",USA,0,38.0654917593,-97.9234908465
4273837,0,0,2430632,"Kansas City, Kansas, United States of America",USA,0,39.1135805169,-94.6301463771
4274277,151399928,114537,2437269,"Lawrence, Kansas, United States of America",USA,0,38.9597524201,-95.2552299416
5445439,151564391,10455123,2408758,"Garden City, Kansas, United States of America",USA,0,37.9752130321,-100.86408655
4274994,151465945,150444,2444768,"Manhattan, Kansas, United States of America",USA,0,39.1940275259,-96.5924351418
4272782,151644723,114549,2419123,"Hays, Kansas, United States of America",USA,0,38.8793697297,-99.3221910012
5445479,151436608,114940,2412064,"Goodland, Kansas, United States of America",USA,0,39.348488382,-101.711037437
4271086,151341604,114705,2399543,"Emporia, Kansas, United States of America",USA,0,38.404230773,-96.1813749611
4278890,151788557,114910,2487457,"Salina, Kansas, United States of America",USA,0,38.8246702261,-97.6071794045
5445298,151328364,10455121,2392522,"Dodge City, Kansas, United States of America",USA,0,37.7600582062,-100.018195029
4269789,151754287,114755,2382563,"Coffeyville, Kansas, United States of America",USA,0,37.0380609325,-95.6263184019
4281730,151817485,114932,2520077,"Wichita, Kansas, United States of America",USA,0,37.719983133,-97.3299870217
4406831,151861658,96839,2486673,"St. Charles, Missouri, United States of America",USA,0,38.7842850942,-90.506165814
4404233,151620306,124728,2475160,"Poplar Bluff, Missouri, United States of America",USA,0,36.760196756,-90.4026837583
4391812,151407399,150735,2426709,"Independence, Missouri, United States of America",USA,0,39.091113911,-94.4152812111
5055787,151453549,122478,2433100,"Kirksville, Missouri, United States of America",USA,0,40.1936822704,-92.5828090838
4392768,151682065,150749,2429939,"Joplin, Missouri, United States of America",USA,0,37.0845955597,-94.5130788592
4381982,151709127,6719,2383559,"Columbia, Missouri, United States of America",USA,0,38.9520784699,-92.3339095477
4407010,151590539,149369,2486938,"St. Joseph, Missouri, United States of America",USA,0,39.769031188,-94.8463918475
4392388,151757071,57841,2428866,"Jefferson City, Missouri, United States of America",USA,0,38.5766233511,-92.1733250343
5071348,151838403,123707,2430933,"Kearney, Nebraska, United States of America",USA,0,40.7007055858,-99.0811462827
5069297,151627013,123947,2412798,"Grand Island, Nebraska, United States of America",USA,0,40.9222682892,-98.3579862892
5693164,151448587,123688,2353456,"Alliance, Nebraska, United States of America",USA,0,42.1013952831,-102.870191489
5697383,151502423,124148,2447684,"McCook, Nebraska, United States of America",USA,0,40.205593688,-100.626168255
5073965,151358006,124068,2460390,"Norfolk, Nebraska, United States of America",USA,0,42.028712381,-97.4335982684
5697939,151398920,78943,2461466,"North Platte, Nebraska, United States of America",USA,0,41.1362862336,-100.770500531
5699552,26787093,123799,2493390,"Sidney, Nebraska, United States of America",USA,0,41.139800231,-102.978272748
5699404,151880053,124204,2490042,"Scottsbluff, Nebraska, United States of America",USA,0,41.8675077505,-103.660685874
5694163,151398348,123846,2377757,"Chadron, Nebraska, United States of America",USA,0,42.8279142447,-103.003077435
4529987,151935027,150965,2359659,"Bartlesville, Oklahoma, United States of America",USA,0,36.7472001333,-95.9805861834
4535961,151847864,130198,2399751,"Enid, Oklahoma, United States of America",USA,0,36.3955420116,-97.8780931008
4529469,151487507,130081,2355697,"Ardmore, Oklahoma, United States of America",USA,0,34.1810776968,-97.1294049497
4542367,151339723,130529,2447459,"McAlester, Oklahoma, United States of America",USA,0,34.9329956248,-95.7659739601
4552215,151336459,130516,2499951,"Stillwater, Oklahoma, United States of America",USA,0,36.135351175,-97.0682975685
4540737,151438593,130131,2437373,"Lawton, Oklahoma, United States of America",USA,0,34.5990366811,-98.4099727801
4543762,151874910,130118,2460448,"Norman, Oklahoma, United States of America",USA,0,35.2279130239,-97.3441463641
4543338,151700650,130413,2456621,"Muskogee, Oklahoma, United States of America",USA,0,35.7482171825,-95.3694348569
4548267,151399384,150961,2474917,"Ponca City, Oklahoma, United States of America",USA,0,36.707357604,-97.0852732765
4551177,151794355,130547,2491946,"Shawnee, Oklahoma, United States of America",USA,0,35.3427897329,-96.9337838153
4556050,151721168,130674,2523848,"Woodward, Oklahoma, United States of America",USA,0,36.4334208364,-99.3976902687
5515743,151912786,130621,2415795,"Guymon, Oklahoma, United States of America",USA,0,36.6858085317,-101.479501182
5766425,151757918,134921,2437501,"Lead, South Dakota, United States of America",USA,0,44.3508445425,-103.765769899
5233053,151420494,135072,2524542,"Yankton, South Dakota, United States of America",USA,0,42.8820194693,-97.3924896665
5226534,151660474,134741,2369903,"Brookings, South Dakota, United States of America",USA,0,44.3067645458,-96.788030438
5229794,151915301,134805,2452429,"Mitchell, South Dakota, United States of America",USA,0,43.7142942495,-98.0261977557
5225857,151500624,2709,2351561,"Aberdeen, South Dakota, United States of America",USA,0,45.4651176138,-98.4864022235
5767189,151801765,135065,2452578,"Mobridge, South Dakota, United States of America",USA,0,45.5401259553,-100.434707074
5768233,151801290,134987,2478734,"Rapid City, South Dakota, United States of America",USA,0,44.0805509634,-103.23055709
4341727,153504270,7530313,2494688,"Slidell, Louisiana, United States of America",USA,0,30.2749595327,-89.7810937925
4330236,151739449,0,2434769,"Lake Charles, Louisiana, United States of America",USA,0,30.2263836863,-93.2171889666
4333177,151419994,115623,2449881,"Metairie, Louisiana, United States of America",USA,0,29.9838661896,-90.1527765317
4334971,151631079,10304447,2458593,"New Iberia, Louisiana, United States of America",USA,0,30.0035807485,-91.8183079445
4328010,151501279,115802,2424721,"Houma, Louisiana, United States of America",USA,0,29.5959312124,-90.7194861265
4333669,151704996,115682,2453022,"Monroe, Louisiana, United States of America",USA,0,32.5096034943,-92.1191939715
4330145,151339149,10304897,2434560,"Lafayette, Louisiana, United States of America",USA,0,30.1999770294,-92.0199493833
4692883,54611749,53840,2408583,"Galveston, Texas, United States of America",USA,0,29.3011430044,-94.7974801043
4677008,151461194,135554,2370857,"Bryan, Texas, United States of America",USA,0,30.6741858104,-96.3696838804
4726491,151605786,151124,2488125,"San Marcos, Texas, United States of America",USA,0,29.8830713084,-97.9411125099
4707814,151669013,151199,2441761,"Longview, Texas, United States of America",USA,0,32.5005342804,-94.7402742938
4709796,151665940,136095,2447466,"McAllen, Texas, United States of America",USA,0,26.2030375356,-98.2297253843
4696233,151720574,51652,2417649,"Harlingen, Texas, United States of America",USA,0,26.1975598338,-97.690197593
4670234,151342615,136209,2353153,"Alice, Texas, United States of America",USA,0,27.7504624624,-98.0704844582
4714131,151895218,151147,2458076,"New Braunfels, Texas, United States of America",USA,0,29.6978112986,-98.1263208433
